fold,C,auc_roc,auc_pr,n_iter,seconds
0,0.001,0.943414003708767,0.3681745864327794,28,6.9122560024261475
0,0.01,0.93058706897019,0.3469338995878476,44,8.99465012550354
0,0.1,0.9117925808531434,0.3039716856552381,49,10.30234694480896
0,1.0,0.9008017858769402,0.28353796600312947,44,10.78749418258667
0,10.0,0.893866917742816,0.27189066577436294,42,11.673149108886719
1,0.001,0.9522659835307545,0.40479646432291877,27,15.68995976448059
1,0.01,0.9370494261795345,0.38252369181958845,43,18.010869026184082
1,0.1,0.9217176647332929,0.3310394612852995,47,13.289517402648926
1,1.0,0.9092215443909241,0.3032187491413691,44,12.168301343917847
1,10.0,0.9013108631994516,0.2946434291212657,37,9.902459383010864
2,0.001,0.9516787654020432,0.3422870158110633,27,9.979589462280273
2,0.01,0.9363845490296507,0.31430951567138365,42,12.36034870147705
2,0.1,0.9202305504661124,0.269083841990156,53,16.466227293014526
2,1.0,0.9107200539173608,0.25949260617924486,45,9.939833402633667
2,10.0,0.9017934162012395,0.2510041065177061,40,9.524058103561401
