feature_idx,feature_theme,layer,probe_type,n_train,n_train_pos,n_test,n_test_pos,auc_roc,auc_roc_lo,auc_roc_hi,auc_pr,auc_pr_lo,auc_pr_hi,p_at_k,p_at_k_lo,p_at_k_hi,C,mlp_hidden,mlp_epochs,mlp_final_train_loss,fit_seconds,eval_seconds
9989,refusal,5,linear,81600,845,20400,190,0.8913195656136877,0.8702893564936587,0.912445942602672,0.16207089527586208,0.12025010087765559,0.2199870166289601,0.21052631578947367,0.1631578947368421,0.26842105263157895,0.001,,,,13.01,3.16
9989,refusal,5,mlp,81600,845,20400,190,0.8889179405713692,0.8690145446496004,0.908801003932394,0.1368999034169083,0.10765387928451524,0.17275760042037988,0.22631578947368422,0.1736842105263158,0.26842105263157895,,128,5,0.19888155441731215,27.94,2.83
817,deception,5,linear,81600,755,20400,267,0.89306700330443,0.8757978427539261,0.9116732948737339,0.1964246887550474,0.161536933130432,0.2564158666579124,0.250936329588015,0.20964419475655433,0.299625468164794,0.001,,,,50.76,5.44
817,deception,5,mlp,81600,755,20400,267,0.8917937290054843,0.8767385788997549,0.906433992972947,0.16507792578092462,0.13255460701603178,0.2099346911839387,0.23595505617977527,0.19101123595505617,0.2808988764044944,,128,5,0.15577125982381404,30.64,3.83
12730,ethics,5,linear,81600,506,20400,75,0.8733763017630177,0.8258086100861008,0.9076852316523164,0.07768419135689944,0.03847663410672208,0.1546992999170709,0.12,0.05333333333333334,0.20033333333333342,0.001,,,,23.53,4.91
12730,ethics,5,mlp,81600,506,20400,75,0.8516887248872489,0.8015022386223862,0.8974330299302993,0.06407188870725472,0.03473747593808409,0.11860483794936634,0.12,0.05333333333333334,0.20033333333333342,,128,5,0.10440214611589908,28.94,3.8
892,sycophancy-adj,5,linear,81600,358,20400,68,0.936437490597262,0.9003592569233083,0.960628565807594,0.33862246998642753,0.2314098741282719,0.4377121058898327,0.3382352941176471,0.25,0.4411764705882353,0.001,,,,24.41,3.92
892,sycophancy-adj,5,mlp,81600,358,20400,68,0.9228129231232135,0.8803421113920681,0.9482125756558771,0.33511644773939464,0.23545316333714278,0.45281375251350786,0.36764705882352944,0.2647058823529412,0.47058823529411764,,128,5,0.07475566648645326,23.79,4.06
1031,harm,5,linear,81600,559,20400,97,0.9778276634756634,0.9701239494848916,0.9862859000574291,0.4982540192152806,0.3979749284547406,0.5963957426243701,0.4948453608247423,0.41237113402061853,0.5876288659793815,0.001,,,,23.57,4.8
1031,harm,5,mlp,81600,559,20400,97,0.9718994349014491,0.9644043006188208,0.9823232283482559,0.3318879087274126,0.2445393422666274,0.4518498231430009,0.4329896907216495,0.3402061855670103,0.5360824742268041,,128,5,0.10476471846923233,23.49,4.08
9989,refusal,8,linear,81600,845,20400,190,0.9060301049506498,0.8851118258287975,0.9278508229380973,0.17479910482458597,0.1344761461001854,0.22965113382148872,0.28421052631578947,0.22092105263157893,0.3263157894736842,0.001,,,,19.41,4.24
9989,refusal,8,mlp,81600,845,20400,190,0.9004401156280112,0.8802500520846895,0.9196427641344828,0.1390430743583685,0.11131035625183433,0.18102791558007209,0.24736842105263157,0.18947368421052632,0.29486842105263156,,128,5,0.1576959769707173,21.58,4.55
817,deception,8,linear,81600,755,20400,267,0.9244466247022841,0.9098904364626916,0.9374400405840486,0.2782424506580058,0.2274011345855738,0.3348338829543878,0.3295880149812734,0.27340823970037453,0.3895131086142322,0.001,,,,36.24,7.28
817,deception,8,mlp,81600,755,20400,267,0.9328115968881842,0.9192659776903069,0.9465608804446685,0.2758727201321157,0.21660554781938923,0.33428204057814914,0.3333333333333333,0.26582397003745317,0.38211610486891384,,128,5,0.13758823017124086,28.16,3.63
12730,ethics,8,linear,81600,506,20400,75,0.9245559655596556,0.8814565477654775,0.9531649528495285,0.18194986931868828,0.09793052867518041,0.27763547806256667,0.24,0.133,0.3203333333333334,0.001,,,,20.44,4.59
12730,ethics,8,mlp,81600,506,20400,75,0.9125182451824517,0.8662370643706436,0.9449733169331693,0.14943386423288407,0.08609292419328539,0.22540273217922058,0.24,0.133,0.32,,128,5,0.08121852054027841,19.33,6.24
892,sycophancy-adj,8,linear,81600,358,20400,68,0.9723067664996355,0.9525988625580076,0.9864616122368681,0.42083992061009046,0.30165471090407325,0.5338012465207769,0.4411764705882353,0.3235294117647059,0.5294117647058824,0.001,,,,28.07,7.62
