feature_idx,feature_theme,layer,n_seq,n_tokens,subsample_seed,n_train_pos,n_test,n_test_pos,auc_roc,auc_pr,p_at_k,C,n_iter,converged,fit_seconds,degenerate
9989,refusal,5,2,510,10,0,,,,,,0.001,,,0.0,1
817,deception,5,2,510,10,0,,,,,,0.001,,,0.0,1
12730,ethics,5,2,510,10,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,5,2,510,10,0,,,,,,0.001,,,0.0,1
1031,harm,5,2,510,10,1,20400,97,0.5369449235829756,0.005086662079890739,0.0,0.001,19,1,0.169,0
9989,refusal,5,2,510,11,1,20400,190,0.47427133519102066,0.008156648415213196,0.0,0.001,20,1,0.09,0
817,deception,5,2,510,11,1,20400,267,0.5811867002039435,0.022214220026278115,0.0599250936329588,0.001,18,1,0.093,0
12730,ethics,5,2,510,11,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,5,2,510,11,6,20400,68,0.7433913217067272,0.04576691669904966,0.14705882352941177,0.001,19,1,0.08,0
1031,harm,5,2,510,11,0,,,,,,0.001,,,0.0,1
9989,refusal,5,2,510,12,0,,,,,,0.001,,,0.0,1
817,deception,5,2,510,12,23,20400,267,0.6871765307521461,0.045042580815886066,0.0898876404494382,0.001,19,1,0.076,0
12730,ethics,5,2,510,12,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,5,2,510,12,1,20400,68,0.6163292289176147,0.008452013140775965,0.014705882352941176,0.001,18,1,0.075,0
1031,harm,5,2,510,12,3,20400,97,0.76701096938089,0.06538450898494844,0.15463917525773196,0.001,19,1,0.064,0
9989,refusal,5,2,510,13,0,,,,,,0.001,,,0.0,1
817,deception,5,2,510,13,0,,,,,,0.001,,,0.0,1
12730,ethics,5,2,510,13,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,5,2,510,13,0,,,,,,0.001,,,0.0,1
1031,harm,5,2,510,13,0,,,,,,0.001,,,0.0,1
9989,refusal,5,2,510,14,0,,,,,,0.001,,,0.0,1
817,deception,5,2,510,14,1,20400,267,0.5147361804301024,0.013151931714015418,0.003745318352059925,0.001,18,1,0.097,0
12730,ethics,5,2,510,14,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,5,2,510,14,0,,,,,,0.001,,,0.0,1
1031,harm,5,2,510,14,0,,,,,,0.001,,,0.0,1
9989,refusal,5,4,1020,10,8,20400,190,0.712323237584312,0.05218083317361758,0.08947368421052632,0.001,18,1,0.104,0
817,deception,5,4,1020,10,7,20400,267,0.7309087452337091,0.03444491111302772,0.0599250936329588,0.001,19,1,0.12,0
12730,ethics,5,4,1020,10,1,20400,75,0.6153121771217712,0.00588249931094828,0.013333333333333334,0.001,18,1,0.136,0
892,sycophancy-adj,5,4,1020,10,0,,,,,,0.001,,,0.0,1
1031,harm,5,4,1020,10,4,20400,97,0.8019435957613293,0.04315394894580449,0.1134020618556701,0.001,19,1,0.127,0
9989,refusal,5,4,1020,11,1,20400,190,0.4827537175447278,0.008319541101974826,0.0,0.001,19,1,0.11,0
817,deception,5,4,1020,11,1,20400,267,0.6197860073209784,0.02436292428791943,0.0599250936329588,0.001,19,1,0.104,0
12730,ethics,5,4,1020,11,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,5,4,1020,11,8,20400,68,0.8403096827950145,0.02298596760765253,0.058823529411764705,0.001,19,1,0.116,0
