feature_idx,feature_theme,layer,C,ood_n_test,ood_n_test_pos,ood_auc_roc,ood_auc_roc_lo,ood_auc_roc_hi,ood_auc_pr,ood_auc_pr_lo,ood_auc_pr_hi,ood_p_at_k,ood_p_at_k_lo,ood_p_at_k_hi,id_auc_roc,id_auc_pr,id_p_at_k,id_n_test_pos,gap_auc_roc,gap_auc_pr
9989,refusal,5,0.0010000000474974513,25500,597,0.7610786131597636,0.7432462989901656,0.7816114573119919,0.08714536417617771,0.07483136429871122,0.10592408522082603,0.1373534338358459,0.1138609715242881,0.1675460636515913,0.8913195656136877,0.16207089527586208,0.21052631578947367,190,0.1302409524539242,0.07492553109968436
817,deception,5,0.0010000000474974513,25500,1124,0.7208939215341617,0.7042429010303584,0.7366437097352042,0.1521167895516728,0.13301000774149607,0.1706506947873937,0.19395017793594305,0.16990658362989325,0.21799377224199287,0.89306700330443,0.1964246887550474,0.250936329588015,267,0.17217308177026835,0.04430789920337461
12730,ethics,5,0.0010000000474974513,25500,1269,0.7547318479388967,0.7420295808933056,0.767079643270662,0.16698498912498808,0.1520929911660935,0.1855904222441507,0.22537431048069345,0.2016942474389283,0.24349881796690306,0.8733763017630177,0.07768419135689944,0.12,75,0.11864445382412103,-0.08930079776808864
892,sycophancy-adj,5,0.0010000000474974513,25500,772,0.9171584245922058,0.9075385924244379,0.9276300580366197,0.43169433173296134,0.3974045825268359,0.4637828557055432,0.4572538860103627,0.42742875647668394,0.48704663212435234,0.936437490597262,0.33862246998642753,0.3382352941176471,68,0.019279066005056245,-0.09307186174653381
1031,harm,5,0.0010000000474974513,25500,1587,0.9150663804895983,0.9098223050787628,0.9209226862625915,0.5468481531091165,0.5275475896152936,0.5660217091130215,0.5160680529300568,0.4977788279773157,0.5330812854442344,0.9778276634756634,0.4982540192152806,0.4948453608247423,97,0.06276128298606509,-0.04859413389383588
9989,refusal,8,0.0010000000474974513,25500,597,0.7944615728793212,0.7763559554118556,0.813718963245735,0.11192106051268953,0.09412819759554983,0.13724320941953663,0.17755443886097153,0.14401172529313233,0.20435510887772193,0.9060301049506498,0.17479910482458597,0.28421052631578947,190,0.11156853207132866,0.06287804431189643
817,deception,8,0.0010000000474974513,25500,1124,0.8047006667196134,0.7907858611804738,0.818088202166649,0.28649625947142976,0.2580594272482454,0.3125982246002841,0.3113879003558719,0.28645462633451957,0.33456405693950175,0.9244466247022841,0.2782424506580058,0.3295880149812734,267,0.11974595798267074,-0.008253808813423968
12730,ethics,8,0.0010000000474974513,25500,1269,0.8022488369511744,0.7913516578464197,0.8145079606944442,0.23916626322623497,0.21928970097557768,0.2635160372398521,0.28368794326241137,0.2624113475177305,0.30577226162332544,0.9245559655596556,0.18194986931868828,0.24,75,0.12230712860848114,-0.05721639390754668
892,sycophancy-adj,8,0.0010000000474974513,25500,772,0.9409620714828105,0.9334974981162927,0.9484540335115488,0.49643832514785824,0.46171727487527314,0.5330382356019319,0.5077720207253886,0.47924222797927457,0.540187823834197,0.9723067664996355,0.42083992061009046,0.4411764705882353,68,0.03134469501682502,-0.07559840453776778
1031,harm,8,0.0010000000474974513,25500,1587,0.9354144807272509,0.930939759811421,0.940819422043218,0.633343476504895,0.6148417136282542,0.6555216836464925,0.5834908632640201,0.5670762444864524,0.5998897290485192,0.977948513017476,0.46627613157563497,0.44329896907216493,97,0.04253403229022512,-0.16706734492926
